nama_produk,harga_produk,total_terjual,rating,nama_toko,kota_toko
KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,21630.0,40,5.0,Toko kue Sumber Mas,Jakarta Timur
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000.0,2000,4.9,Central Seblak Nusantara,Tangerang Selatan
"Seblak Rafael, Seblak Coet Instan Halal",25000.0,500,5.0,Brother Meat Shop,Depok
Seblak Rafael/Seblak Coet Instan Halal,26600.0,500,4.9,Foodstocks,Jakarta Selatan
Seblak instan komplit / seblak instan murah,5000.0,100,4.7,ismileusa_id,Kab. Bandung
Kylafood Seblak Rempah Authentik,8888.0,2000,4.9,kylafood,Bandung
SEBLAK INSTANT TERMURAH,4450.0,10000,4.8,Pusat Cuankie & Cemilan Frozen,Jakarta Timur
Seblak Instan Pedas Home Made,3500.0,4000,4.9,the Dhecip,Tangerang Selatan
Kerupuk Mentah 250gr Seblak Mentah,5900.0,1000,5.0,Pedas Gilaa,Surabaya
Seblak Instant Homemade Lengkap Bumbu,5500.0,3000,4.8,Pedas Gilaa,Surabaya
Omiyago Snack Kerupuk Seblak,6000.0,50,4.8,omiyago,Jakarta Barat
KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,16695.0,250,4.9,Toko kue Sumber Mas,Jakarta Timur
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk - Putih,24500.0,100,5.0,Distributor-Jaya,Tangerang
kerupuk seblak ALN2 kemasan 100 gr,12000.0,0,0.0,grosir sembako Aln2,Kab. Bandung Barat
PROMO KEMERDEKAAN SEBLAK + KRISANG 200 GR,79000.0,0,0.0,Central Seblak Nusantara,Tangerang Selatan
Seblak Beton 1kg Pedas Daun Jeruk / Seblak Kerupuk JAAT 1kg ,37500.0,60,4.8,D&R-9 collection,Bandung
Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,33000.0,500,4.9,Pedas Gilaa,Surabaya
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999.0,1000,4.9,aghniya,Tangerang Selatan
SEBLAK INSTAN SAJODO SNACK,18500.0,100,4.8,Sajodo Snack & Food,Tasikmalaya
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",42500.0,250,4.8,gaiagarut,Kab. Garut
cuanki pangsit segitiga atau cipet isi 40 pcs toping seblak baso aci,13999.0,100,4.9,CUANKI CULAMETAN,Kab. Garut
Kylafood Seblak Kwetiaw,19975.0,4000,4.9,kylafood,Bandung
cuanki tahu kering seblak atau batagor kering isi 150 pcs,34999.0,100,4.8,CUANKI CULAMETAN,Kab. Garut
Kylafood Seblak Mie Baso,24750.0,4000,4.9,kylafood,Bandung
CUANKI TAHU KERING isi 500pcs Topping SEBLAK Cuanki Baso Aci,130000.0,30,3.4,jajanangarut19,Jakarta Selatan
seblak / paket seblak bumbu komplit pedas ekonomis,3479.0,750,4.8,Grosir Putra Bdg,Kab. Bandung
BASO ACI HOMEMADE boci isi 6 baso aci tulang rangu seblak Boci sehot,3800.0,100,4.4,NomeL Shop,Surabaya
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 250 GRAM,18899.0,18,5.0,Simshop_,Cimahi
SAMBAL BUMBU SEBLAK / SEBLAK INSTAN / SEBLAK PRAKTIS / PEDAS GURIH,3500.0,70,4.5,Uai Food,Surabaya
siomay mini kering 250 gram toping seblak baso aci,7999.0,250,4.9,CUANKI CULAMETAN,Kab. Garut
Pasar Keripik Kerupuk Seblak Mawar Pedas size Kiloan,65000.0,11,4.9,Pasar Keripik Bandung,Bandung
Mie Seblak Geprek SamiRaos Original | Seblak Mie Instat Pedas,20000.0,13,5.0,Lemari Wanita,Jakarta Timur
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,18900.0,100,5.0,Foodstocks,Jakarta Selatan
cuanki tahu panjang isi 150 pcs | toping seblak baso aci,34999.0,40,5.0,CUANKI CULAMETAN,Kab. Garut
Seblak Kering Bangsatria 170gr (Organik Food Snack Pedas),21000.0,0,0.0,Foodstocks,Jakarta Selatan
paket hemat 4 seblak aceng 4 cuanki instan dan 4 baso aci,62000.0,9,5.0,cemilan Bandungstore,Cimahi
seblak kering bumbu kacang sebring,12500.0,8,5.0,Denissa snack,Bandung
Maicih Seblak Keju,12999.0,500,4.7,Gerai Snack Official Shop,Kab. Tangerang
Cireng Kuah Seblak Donatmieku (Recommended),22000.0,9,5.0,marrystore625,Jakarta Barat
"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",9999.0,90,4.8,aghniya,Tangerang Selatan
Cimol Bojot Pedas Cilok Goreng Bumbu Pedas Bubuk Cimol Cikruh Bawang,6652.0,1000,4.9,Berkah Food Bandung,Cimahi
Keripik Tempe Mels Kitchen,25000.0,1000,4.9,Pisang Goreng Madu Bu Nanik,Jakarta Barat
Emping Balado 130g,13500.0,100,4.9,oke snack,Jakarta Selatan
Keripik Ubi Ungu Sari Roso,26000.0,250,5.0,Pisang Goreng Madu Bu Nanik,Jakarta Barat
Baso Aci Bapper Tulang Rangu Sambel Mercon Asli Bandung 220gr,25800.0,500,4.9,Foodstocks,Jakarta Selatan
"Seblak Bantat Boboko Pedas Daun Jeruk Level 7,8,9 Netto 200g",18700.0,100,5.0,Gerai Snack Official Shop,Kab. Tangerang
SEBLAK BASRENG KOIN PEDAS 1KG,43950.0,3,0.0,Ngaladastore26,Kab. Subang
sebring/seblak kering elod pedas daun jeruk/original kriuk 250g.,15900.0,2,5.0,Syahla_Shop16,Kab. Bandung
"keripik beling / kaca, bumbu seblak daun jeruk enak, gurih, pedas",14999.0,500,4.7,aghniya,Tangerang Selatan
seblak Abah aceng paling top pedas mantul,6000.0,70,5.0,cemilan Bandungstore,Cimahi
Kerupuk Kemplang Palembang Cap Satu Ikan,19000.0,1000,4.9,Pisang Goreng Madu Bu Nanik,Jakarta Barat
jagung marning 250 gr,16000.0,500,4.9,oke snack,Jakarta Selatan
Kerupuk Bangka / Kerupuk Ikan Bangka,28000.0,250,4.7,Pisang Goreng Madu Bu Nanik,Jakarta Barat
BASRENG 1KG PEDAS DAUN JERUK BOS SNACK BANDUNG,39450.0,1,5.0,BOS SNACK BANDUNG,Bandung
Peyek Bu Nanik / Kerupuk Peyek khas Madiun,24500.0,1000,4.7,Pisang Goreng Madu Bu Nanik,Jakarta Barat
Kerupuk Ikan Tanggiri,17000.0,1000,4.9,Pisang Goreng Madu Bu Nanik,Jakarta Barat
cuanki tahu pasung isi 50 murah batagor kering toping seblak baso aci,12500.0,250,4.9,CuankiCulametan,Kab. Garut
Makaroni Tabur & Seblak Makaroni SiKaya-Netto 40 Gram,5000.0,100,4.7,Fiorenza Snack,Jakarta Timur
Seblak Basranger Extra Pedas 200gr,17300.0,250,4.9,Rak Sebelah,Jakarta Pusat
SOACI SEBLAK TULANG RANGU,17500.0,80,5.0,JAJANAN AJIB,Kab. Garut
siomay mini kering 1kg / cuanki / batagor / seblak / bakso aci,29000.0,100,4.9,fahirastores,Kab. Bandung Barat
Seblak Instan Kang Atha,3550.0,30,4.0,Kripik Kita Indonesia,Kab. Kediri
pilus kencur sukro cikur 250 gram toping baso aci seblak,8999.0,15,4.6,Culametan Food,Kab. Garut
TOPPING SEBLAK/baso Aci paket mix super murah khas Garut/cuanki/siomay,69999.0,90,4.9,ArfaOnlineShop,Tangerang
Siomay Kerikil Kuncup / Siomay Mini / SIomay Seblak,8000.0,100,4.6,Aeeshastore,Bandung
Seblak Basah Instan Good Friend (90gr),17700.0,40,5.0,Gerai Snack Official Shop,Kab. Tangerang
cuanki siomay kering topping seblak baso aci isi 10 pcs,3700.0,40,4.8,CuankiCulametan,Kab. Garut
siBumbu / Bumbu Seblak,2500.0,250,4.9,OTEND FOOD,Jakarta Barat
cuanki tahu pasung murah isi 10 pcs toping seblak boci mie bakso,5000.0,60,4.9,CuankiCulametan,Kab. Garut
Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Combo 4pcs 65 gr,50000.0,15,5.0,Lidigeli,Kab. Garut
seblak rafael instan,35000.0,4,5.0,sarimart48,Jakarta Barat
1 Kg kerupuk / krupuk seblak kencur kiloan termurah makanan ringan,38000.0,30,4.8,MuezzaSnack,Kab. Cirebon
[TERMURAH] Seblak Goreng Kriuk Berhadiah Langsung,10000.0,4,5.0,Arkadewi11,Jakarta Selatan
SEBLAK INSTAN KOMPLIT BY MAMAKE,16000.0,30,5.0,ngemilasik_19,Kab. Badung
Cuanki Baso Tahu Kering ISI 150pcs untuk Seblak dan baso aci,39479.0,1000,4.9,gaiagarut,Kab. Garut
Pasar Keripik Cimol Seblak Pedas size Kecil 130g,12500.0,500,4.9,Pasar Keripik Bandung,Bandung
Kylafood Baso Aci Sambel Ijo Play,19350.0,750,4.9,kylafood,Bandung
BOCI MIE YAMIN ASIN KHAS GARUT,20000.0,0,0.0,PEPI FROZEN FOOD,Tasikmalaya
Kylafood Mix Batagor Kuah dan Baso Aci Sambal goang,46750.0,80,4.7,kylafood,Bandung
Seblak Bapper Bikin Nagih Parah Extra Mie Kuning 120gr,19700.0,60,4.9,Gerai Snack Official Shop,Kab. Tangerang
PAKET KOMPLIT BUMBU BASO ACI/BOCI/CUANKI/SEBLAK ECERAN,1200.0,250,5.0,ArfaOnlineShop,Tangerang
Seblak instan enak dan kenyang,6000.0,4,5.0,tutikch_14,Kab. Jombang
Kerupuk RANTAI 250gr SEBLAK Warna Warni,6000.0,500,5.0,yohangunawan94,Bandung
"Cuanki Lidah 150pcs Toping Baso Aci, Seblak khas Garut",39479.0,3000,4.9,gaiagarut,Kab. Garut
SIOMAY KUNCUP KERING ISI 20 PCS BASO ACI/BOCI/SEBLAK/CUANKI,6999.0,100,4.9,ArfaOnlineShop,Tangerang
Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,32500.0,100,4.6,CuankiCulametan,Kab. Garut
Kerupuk Seblak Rempah Cikur,15000.0,0,0.0,Kerupuk Rempah,Bandung
cuanki tahu geprek isi 50 murah toping seblak baso aci,19000.0,80,4.8,CuankiCulametan,Kab. Garut
Gurilem Sangarrr,13000.0,2000,4.7,The Little Snacks,Tangerang Selatan
cuanki lidah aci 10 pcs murah toping seblak baso aci,3500.0,100,5.0,CuankiCulametan,Kab. Garut
SIOMAY MINI KERING 250 GRAM BASO ACI/BOCI/SEBLAK/CUANKI/CUANKIE,9999.0,90,4.9,ArfaOnlineShop,Tangerang
Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,19110.0,100,5.0,Foodstocks,Jakarta Selatan
seblak instant,5500.0,90,5.0,wafilasnacku7,Kab. Bandung
Kerupuk Seblak Bantet Super Pedas Daun Jeruk,8950.0,22,5.0,Althafun,Kab. Mojokerto
SIOMAY Cuanki isi 50pcs Toping Baso Aci Cuanki Seblak,16500.0,90,4.9,alien toko,Kab. Garut
KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,21630.0,40,5.0,Toko kue Sumber Mas,Jakarta Timur
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000.0,2000,4.9,Central Seblak Nusantara,Tangerang Selatan
